Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Purpose,Loan_Status
Female,No,1,Graduate,No,21407,106,180,180,1,Urban,Home Renovation,Y
Female,Yes,2,Graduate,No,8176,125,170,300,1,Semiurban,Home Purchase,Y
Male,Yes,1,Not Graduate,No,9757,187,275,240,1,Semiurban,Car,Y
Male,Yes,0,Not Graduate,Yes,3061,799,170,180,1,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,7269,4173,116,360,1,Urban,Education,Y
Male,No,0,Graduate,No,4166,1966,125,360,0,Semiurban,Debt Consolidation,Y
Female,Yes,0,Graduate,No,776,688,198,300,1,Semiurban,Home Purchase,Y
Male,Yes,1,Graduate,No,18566,1651,134,120,0,Urban,Other,Y
Female,Yes,2,Graduate,No,1279,3616,151,360,1,Semiurban,Education,Y
Male,Yes,0,Graduate,No,2699,3619,165,360,1,Rural,Wedding,Y
Male,Yes,0,Graduate,No,33597,890,120,300,1,Semiurban,Home Purchase,Y
Female,No,1,Graduate,No,2022,906,156,180,1,Semiurban,Car,Y
Male,No,2,Graduate,No,291,280,82,360,1,Semiurban,Business,Y
Male,Yes,0,Graduate,No,265,1008,170,180,1,Urban,Car,Y
Male,Yes,3+,Not Graduate,No,3189,1787,68,300,1,Urban,Business,Y
Male,Yes,0,Graduate,Yes,19548,153,165,360,0,Urban,Business,Y
Male,Yes,0,Graduate,No,812,3519,183,360,1,Semiurban,Car,Y
Male,Yes,1,Not Graduate,No,10123,2773,233,360,0,Urban,Business,Y
Male,Yes,1,Graduate,No,457,899,133,360,1,Rural,Home Purchase,Y
Female,No,1,Not Graduate,No,5196,4261,147,360,1,Rural,Debt Consolidation,Y
Male,Yes,1,Graduate,No,6587,997,124,300,0,Rural,Business,N
Male,Yes,1,Graduate,No,2607,3057,147,360,1,Semiurban,Car,Y
Male,Yes,2,Graduate,No,3760,1411,187,360,1,Urban,Business,N
Male,Yes,0,Graduate,No,8250,3732,175,360,1,Rural,Debt Consolidation,Y
Male,Yes,0,Not Graduate,Yes,1018,986,131,360,1,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,No,10015,944,197,300,1,Urban,Education,Y
Male,Yes,1,Not Graduate,No,4329,929,159,240,1,Semiurban,Home Purchase,Y
Female,No,0,Graduate,No,1027,1534,163,180,1,Semiurban,Education,Y
Male,Yes,0,Not Graduate,No,4210,1067,20,360,1,Urban,Education,Y
Male,No,0,Graduate,No,13058,7620,225,360,1,Rural,Car,Y
Male,No,0,Graduate,Yes,596,1638,131,180,1,Semiurban,Wedding,Y
Female,Yes,0,Graduate,No,14701,1020,104,300,1,Semiurban,Other,N
Male,Yes,1,Not Graduate,No,987,2872,175,180,0,Urban,Debt Consolidation,Y
Female,Yes,3+,Graduate,No,337,11,72,360,1,Rural,Home Purchase,Y
Male,Yes,1,Graduate,No,886,514,137,300,0,Urban,Home Renovation,Y
Male,No,1,Graduate,No,7997,338,98,120,1,Semiurban,Debt Consolidation,Y
Male,Yes,1,Graduate,No,18957,750,180,360,1,Rural,Education,Y
Male,Yes,1,Not Graduate,No,1334,4037,199,300,1,Urban,Education,Y
Male,No,1,Graduate,No,3324,15050,161,300,1,Semiurban,Medical,Y
Male,No,1,Graduate,No,2426,2181,113,360,1,Urban,Home Renovation,Y
Male,Yes,1,Graduate,Yes,8588,1327,152,300,1,Urban,Home Purchase,Y
Female,Yes,1,Graduate,No,36,3704,88,240,1,Urban,Home Renovation,Y
Female,Yes,0,Graduate,No,2173,392,171,240,1,Semiurban,Home Purchase,Y
Male,Yes,0,Graduate,Yes,3219,1332,232,360,1,Urban,Education,Y
Male,No,3+,Graduate,No,271,276,140,240,1,Rural,Home Purchase,Y
Female,No,1,Graduate,No,6644,4531,73,120,1,Semiurban,Home Renovation,Y
Female,Yes,0,Graduate,No,750,184,141,360,1,Semiurban,Car,Y
Female,No,0,Graduate,No,2601,6910,160,360,1,Semiurban,Education,Y
Male,Yes,0,Graduate,No,4685,3250,152,240,1,Urban,Education,Y
Male,Yes,3+,Graduate,No,6195,2496,74,240,1,Semiurban,Home Purchase,Y
Male,No,1,Graduate,No,5191,151,229,120,1,Urban,Home Purchase,Y
Male,Yes,1,Graduate,No,9514,848,170,300,1,Urban,Wedding,Y
Male,Yes,1,Graduate,No,6748,727,20,360,1,Semiurban,Other,Y
Male,Yes,1,Graduate,No,31,674,60,180,0,Urban,Other,Y
Male,Yes,1,Graduate,No,2356,2062,138,360,1,Rural,Business,Y
Male,Yes,3+,Graduate,No,20586,4045,129,240,1,Urban,Education,Y
Male,Yes,2,Not Graduate,No,262,166,159,180,1,Urban,Home Renovation,Y
Male,Yes,2,Graduate,No,5482,342,203,360,1,Semiurban,Car,Y
Female,No,3+,Graduate,No,443,1002,100,360,1,Urban,Home Purchase,Y
Female,Yes,1,Graduate,No,1289,1253,169,360,1,Rural,Education,Y
Female,No,1,Not Graduate,Yes,5230,1435,150,360,1,Urban,Car,N
Female,No,1,Graduate,No,4912,2314,228,360,1,Urban,Home Purchase,Y
Male,No,2,Graduate,No,2597,1315,93,480,1,Urban,Business,Y
Male,Yes,0,Graduate,Yes,1398,2305,189,180,1,Urban,Home Purchase,Y
Male,No,0,Graduate,No,2190,913,154,360,1,Semiurban,Education,Y
Female,No,2,Graduate,No,1782,3203,178,240,1,Semiurban,Business,Y
Female,Yes,1,Graduate,Yes,14060,3711,135,360,1,Semiurban,Debt Consolidation,Y
Female,No,0,Graduate,No,10824,1649,166,360,1,Semiurban,Home Purchase,Y
Male,No,2,Graduate,No,400,4073,208,360,0,Semiurban,Car,Y
Male,No,3+,Graduate,No,12035,2698,192,360,1,Semiurban,Home Purchase,N
Female,No,0,Graduate,No,389,1185,170,240,0,Semiurban,Car,Y
Male,Yes,0,Graduate,No,6657,108,172,300,1,Urban,Debt Consolidation,Y
Female,Yes,0,Not Graduate,No,579,5448,82,360,1,Urban,Home Renovation,Y
Male,Yes,0,Graduate,No,43,643,213,360,1,Urban,Home Renovation,Y
Female,Yes,0,Graduate,No,60,545,113,300,1,Semiurban,Debt Consolidation,Y
Male,Yes,2,Not Graduate,No,568,759,120,240,1,Rural,Education,Y
Female,No,0,Graduate,No,2729,199,133,240,1,Semiurban,Business,Y
Male,Yes,0,Graduate,No,1003,3296,169,300,1,Urban,Medical,Y
Female,Yes,1,Graduate,No,1678,628,112,360,1,Rural,Other,N
Male,No,0,Not Graduate,Yes,692,77,174,240,1,Semiurban,Home Purchase,Y
Female,No,0,Graduate,No,822,3034,61,240,1,Semiurban,Medical,Y
Female,Yes,0,Graduate,No,5198,3145,191,180,1,Semiurban,Home Renovation,Y
Female,Yes,0,Graduate,No,566,725,198,360,1,Urban,Car,Y
Male,Yes,0,Not Graduate,No,5093,50,260,360,1,Urban,Home Purchase,Y
Female,Yes,2,Graduate,No,4766,2395,189,360,1,Semiurban,Home Purchase,Y
Female,Yes,0,Graduate,No,2951,1434,153,180,1,Semiurban,Home Purchase,Y
Female,No,0,Graduate,No,513,187,196,360,1,Urban,Home Purchase,Y
Female,Yes,1,Graduate,No,2009,196,126,180,1,Rural,Home Purchase,N
Male,No,0,Not Graduate,No,8625,163,163,360,1,Semiurban,Wedding,N
Male,Yes,2,Graduate,No,9937,1022,244,360,1,Rural,Business,Y
Female,No,1,Graduate,No,3485,1571,124,480,1,Semiurban,Education,Y
Male,No,0,Graduate,No,478,2105,134,480,1,Rural,Home Renovation,Y
Male,No,2,Not Graduate,Yes,20703,3309,105,240,1,Urban,Education,Y
Female,Yes,2,Not Graduate,No,463,5669,208,360,1,Semiurban,Business,Y
Male,Yes,1,Graduate,No,293,824,105,480,0,Urban,Home Purchase,N
Male,Yes,2,Not Graduate,Yes,10991,52,204,240,1,Semiurban,Home Purchase,Y
Male,Yes,3+,Graduate,No,2980,869,141,360,0,Rural,Wedding,N
Male,No,0,Graduate,No,2077,1899,74,300,1,Rural,Business,Y
Male,Yes,0,Graduate,Yes,14475,2731,126,360,1,Rural,Education,Y
Male,Yes,1,Graduate,No,2045,898,144,300,1,Semiurban,Business,Y
Male,Yes,0,Not Graduate,No,1453,721,218,360,1,Semiurban,Wedding,Y
Male,Yes,0,Graduate,No,1896,1814,108,180,0,Urban,Wedding,Y
Male,Yes,1,Graduate,No,3275,1596,141,360,1,Urban,Medical,Y
Male,Yes,0,Graduate,No,7342,2425,58,360,1,Urban,Home Purchase,Y
Female,No,0,Not Graduate,No,6383,4080,184,120,1,Semiurban,Home Purchase,Y
Male,No,3+,Graduate,No,16188,1081,212,120,1,Urban,Wedding,Y
Female,Yes,0,Graduate,No,1710,3678,192,360,0,Semiurban,Business,Y
Male,No,1,Graduate,No,2035,3370,151,240,1,Rural,Home Renovation,Y
Male,No,1,Graduate,No,6330,1520,252,300,1,Semiurban,Home Purchase,Y
Male,Yes,2,Graduate,No,674,547,105,180,1,Semiurban,Education,Y
Male,Yes,1,Graduate,Yes,2479,1040,42,360,1,Rural,Home Renovation,Y
Female,No,1,Not Graduate,Yes,6707,557,192,240,1,Semiurban,Home Purchase,Y
Male,Yes,0,Graduate,No,3318,369,209,360,1,Semiurban,Wedding,Y
Female,No,3+,Not Graduate,No,1875,3473,152,360,1,Semiurban,Home Purchase,Y
Male,No,2,Graduate,No,16849,1670,130,360,1,Semiurban,Home Purchase,Y
Female,No,2,Graduate,No,3389,5318,128,360,1,Urban,Debt Consolidation,Y
Female,Yes,1,Graduate,No,4362,1866,175,360,1,Semiurban,Debt Consolidation,Y
